State ,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
United States,"{'human_address': '{""address"":""United States"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '39.759995942000046', 'needs_recoding': False, 'longitude': '-98.49999896099996'}",3.3,3.1,1.3,1.2,6.7,6.2,3.1,3.0,5.2,4.9,1.5,1.4
Alabama,"{'human_address': '{""address"":""Alabama"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '32.84057234800002', 'needs_recoding': False, 'longitude': '-86.63185738799996'}",5.5,5.5,2.7,2.1,10.3,10.0,5,5.5,8.4,8.6,2.9,2.6
Alaska,"{'human_address': '{""address"":""Alaska"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '64.84507799500005', 'needs_recoding': False, 'longitude': '-147.72205958799998'}",,2.8,,,,,,,,,,
Arizona,"{'human_address': '{""address"":""Arizona"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '34.86597351900008', 'needs_recoding': False, 'longitude': '-111.76380664699997'}",3.6,3.0,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5
Arkansas,"{'human_address': '{""address"":""Arkansas"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '34.74865032200006', 'needs_recoding': False, 'longitude': '-92.27448966799994'}",5.0999999999999996,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2000000000000002,2.2
California,"{'human_address': '{""address"":""California"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '37.63864210000003', 'needs_recoding': False, 'longitude': '-120.99999644699994'}",2,2.2,0.9,1.0,4.5,4.6,1.8,2.0,3.2,3.4,1,1.1
Colorado,"{'human_address': '{""address"":""Colorado"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '38.84384342200008', 'needs_recoding': False, 'longitude': '-106.13360911499996'}",2.5,3.0,,1.7,5.6,5.6,2,2.6,3.9,4.6,1.1000000000000001,1.3
Connecticut,"{'human_address': '{""address"":""Connecticut"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '41.56266070000004', 'needs_recoding': False, 'longitude': '-72.64983977999998'}",2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1000000000000001,
Delaware,"{'human_address': '{""address"":""Delaware"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '39.00883389200004', 'needs_recoding': False, 'longitude': '-75.57773597599999'}",3.8,5.2,,,,11.7,4,4.6,6.6,7.4,,
District of Columbia,"{'human_address': '{""address"":""District of Columbia"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '38.89037258400003', 'needs_recoding': False, 'longitude': '-77.03195678499998'}",,,,,,,,,,,,
Florida,"{'human_address': '{""address"":""Florida"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '28.932042722000062', 'needs_recoding': False, 'longitude': '-81.92895768899996'}",3.7,3.5,1.2,1.2,8,7.4,3.3,3.1,5.7,5.4,1.7,1.7
Georgia,"{'human_address': '{""address"":""Georgia"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '32.839683200000024', 'needs_recoding': False, 'longitude': '-83.62757885599996'}",3,2.7,1,0.8,5.8,5.2,3.1,2.9,4.9000000000000004,4.7,1.2,0.9
Hawaii,"{'human_address': '{""address"":""Hawaii"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '21.30485232600006', 'needs_recoding': False, 'longitude': '-157.85774798099996'}",3.8,2.2,,,,,3.2,,5.7,3.6,,
Idaho,"{'human_address': '{""address"":""Idaho"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '43.68263174800006', 'needs_recoding': False, 'longitude': '-114.36372693399994'}",3.6,3.3,,,8.6999999999999993,,2.7,3.0,5.8,4.8,,
Illinois,"{'human_address': '{""address"":""Illinois"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '40.48501223300008', 'needs_recoding': False, 'longitude': '-88.99770922699997'}",2.5,2.4,0.7,0.7,6,5.5,2.1,2.2,4,3.7,1,1.3
Indiana,"{'human_address': '{""address"":""Indiana"",""city"":"""",""state"":"""",""zip"":""""}', 'latitude': '39.766913353000064', 'needs_recoding': False, 'longitude': '-86.14995646699998'}",3.6,3.2,1.2,,7.2,6.3,3.5,3.2,6,5.1,1.3,1.3
